Company,Job Title,ATS Score
Amazon,DevOps,50
Amazon,"DevOps Engineer, Trident",70
Amazon,Associate DevOps Analyst,50
Amazon,"DevOps Engineer II, AEP",70
Amazon,"Graduate Devops Engineer, AWS",90
Amazon,"DevOps Engineer II, AEP",70
Amazon,"DevOps Engineer-III, JP-CP",70
Amazon,"DevOPS/Systems Engineer, Managed Operations",70
Amazon,"DevOps Engineer-II, JP-CP",70
Amazon,"Delivery Consultant-DevOps, WWPS ProServe",50
Amazon,"DevOps Engineer II, AEP",70
